Country,Type,City,State,URL,Link,Google,ir link 1,Name,Twitter,Facebook,Youtube,Instagram,Tiktok,Telegram,VK,Website
China,Consulategeneral,Almaty,Kazakhstan,https://www.embassypages.com/china-consulategeneral-almaty-kazakhstan,https://www.embassypages.com/china-consulategeneral-almaty-kazakhstan,https://www.google.com/search?q=China+Consulategeneral+to+Kazakhstan+in+Almaty%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://kazakhstan.mid.ru/,China Consulategeneral to Kazakhstan in Almaty,,,,,,,,http://almaty.china-consulate.gov.cn/
China,Consulategeneral,Auckland,Newzealand,https://www.embassypages.com/china-consulategeneral-auckland-newzealand,https://www.embassypages.com/china-consulategeneral-auckland-newzealand,https://www.google.com/search?q=China+Consulategeneral+to+Newzealand+in+Auckland%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://newzealand.mid.ru/,China Consulategeneral to Newzealand in Auckland,,ChinaConsAuckland,,,,,,http://auckland.china-consulate.gov.cn/
China,Consulategeneral,Barcelona,Spain,https://www.embassypages.com/china-consulategeneral-barcelona-spain,https://www.embassypages.com/china-consulategeneral-barcelona-spain,https://www.google.com/search?q=China+Consulategeneral+to+Spain+in+Barcelona%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://spain.mid.ru/,China Consulategeneral to Spain in Barcelona,consulchinabcn,,,,,,,http://barcelona.china-consulate.gov.cn/
China,Consulategeneral,Bata,Equatorialguinea,https://www.embassypages.com/china-consulategeneral-bata-equatorialguinea,https://www.embassypages.com/china-consulategeneral-bata-equatorialguinea,https://www.google.com/search?q=China+Consulategeneral+to+Equatorialguinea+in+Bata%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://equatorialguinea.mid.ru/,China Consulategeneral to Equatorialguinea in Bata,,,,,,,,http://bata.china-consulate.gov.cn/
China,Consulategeneral,Belfast,Unitedkingdom,https://www.embassypages.com/china-consulategeneral-belfast-unitedkingdom,https://www.embassypages.com/china-consulategeneral-belfast-unitedkingdom,https://www.google.com/search?q=China+Consulategeneral+to+Unitedkingdom+in+Belfast%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://unitedkingdom.mid.ru/,China Consulategeneral to Unitedkingdom in Belfast,ccgbelfast,,,,,,,http://belfast.china-consulate.gov.cn/eng/
China,Consulategeneral,Brisbane,Australia,https://www.embassypages.com/china-consulategeneral-brisbane-australia,https://www.embassypages.com/china-consulategeneral-brisbane-australia,https://www.google.com/search?q=China+Consulategeneral+to+Australia+in+Brisbane%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://australia.mid.ru/,China Consulategeneral to Australia in Brisbane,,,,,,,,http://brisbane.china-consulate.gov.cn/
China,Consulategeneral,Busan,Korearepublic,https://www.embassypages.com/china-consulategeneral-busan-korearepublic,https://www.embassypages.com/china-consulategeneral-busan-korearepublic,https://www.google.com/search?q=China+Consulategeneral+to+Korearepublic+in+Busan%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://korearepublic.mid.ru/,China Consulategeneral to Korearepublic in Busan,,,,,,,,http://busan.china-consulate.gov.cn/
China,Consulategeneral,Calgary,Canada,https://www.embassypages.com/china-consulategeneral-calgary-canada,https://www.embassypages.com/china-consulategeneral-calgary-canada,https://www.google.com/search?q=China+Consulategeneral+to+Canada+in+Calgary%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://canada.mid.ru/,China Consulategeneral to Canada in Calgary,ChinaCGCalgary,,,,,,,http://calgary.china-consulate.gov.cn/
China,Consulategeneral,Capetown,Southafrica,https://www.embassypages.com/china-consulategeneral-capetown-southafrica,https://www.embassypages.com/china-consulategeneral-capetown-southafrica,https://www.google.com/search?q=China+Consulategeneral+to+Southafrica+in+Capetown%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://southafrica.mid.ru/,China Consulategeneral to Southafrica in Capetown,,chinainsa,,,,,,http://capetown.china-consulate.gov.cn/
China,Consulategeneral,Cebucity,Philippines,https://www.embassypages.com/china-consulategeneral-cebucity-philippines,https://www.embassypages.com/china-consulategeneral-cebucity-philippines,https://www.google.com/search?q=China+Consulategeneral+to+Philippines+in+Cebucity%0D%0A+site%3Afacebook.com+OR+site%3Ax.com+OR+site%3Ainstagram.com+OR+site%3Atiktok.com+OR+site%3At.me,https://philippines.mid.ru/,China Consulategeneral to Philippines in Cebucity,,,,,,,,http://cebu.china-consulate.gov.cn/
